HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),Calc_lambda,refractive index,lambda
-0.223089871,-0.114318853,11.4761361,10.06,115.42,-6.56,14.12127606,0.8839,0.5826,5.0834,0.6083,0.8603,0.6635,5.2836,1.219,0.883,0.6498,5.3742,0.9693,0.7896,0.5962,4.3065,0.5503,0.7559,0.6563,4.0934,0.3926,0.7775,0.7367,4.4882,0.4365,2,2,3,3,1.98296949,1.983855842,2.010792132,2.01839243,5.324123213,5.324165896,5.744922691,5.745028219,706.6573965,1.4448,661
-0.224581771,-0.122248371,11.85678825,815.7,844.92,-10.4,14.12125811,0.6025,0.6686,2.5466,0.1807,0.51,0.6098,2.1909,0.3318,0.5902,0.5698,2.3884,0.9007,0.5368,0.6645,2.2923,0.1664,0.4699,0.579,2.0335,0.9314,0.491,0.606,2.1496,0.3334,1,4,2,2,2.05797619,2.42963454,2.538896217,2.542935508,4.840696197,8.105012031,5.325865216,5.32582066,2662.143885,1.4448,432
-0.206302415,-0.07969944,9.25411474,147.21,2008.2,-10.2,14.12127964,0.5089,0.5483,1.9909,0.0987,0.503,0.6227,2.0219,0.2739,0.9101,0.4656,6.1448,3.75,0.4907,0.5484,1.939,0.1016,0.5021,0.6207,2.0126,0.2662,0.7315,0.5249,4.7475,2.5662,1,1,2,1,2.073003859,2.081240015,2.61490822,2.893265629,4.839984172,4.840089806,5.325093076,4.84050915,675.4511632,1.4448,508
-0.20239907,-0.058866058,10.58289681,20.54,91.29,-7.78,14.12128248,0.9321,0.6085,5.322,2.2959,0.872,0.6024,4.8327,1.4562,0.8792,0.641,5.135,2.1361,0.7307,0.6137,4.1766,2.0882,0.8334,0.6097,4.5196,1.791,0.8367,0.6185,4.7489,1.7174,1,1,2,2,1.975264539,1.987008304,2.160145828,2.170830947,4.8402646,4.840411306,5.325272491,5.324752363,470.3490445,1.4448,444
-0.235616956,-0.105836881,16.39923495,797.03,119.29,-8.1,14.12128045,0.8427,0.6038,4.6375,2.2363,0.8302,0.6363,4.6262,1.9304,0.8817,0.5517,4.8647,2.6047,0.7394,0.6114,4.1897,2.1397,0.8001,0.6295,4.4016,2.0319,0.7523,0.5782,3.898,2.1381,2,1,2,4,1.921590227,2.018833822,2.195051252,2.366087488,5.324636022,4.840925553,5.325029694,8.105000995,589.6871329,1.4448,564
-0.191461256,-0.116609677,3.40757003,92.99,334,-7.34,14.1212809,0.971,0.2848,5.9522,4.5482,0.9408,0.3702,5.3985,4.1218,0.9497,0.3564,5.3241,3.7538,0.9559,0.2881,5.776,4.5323,0.8972,0.3715,5.0129,4.1029,0.9205,0.3784,5.4662,3.8892,1,1,2,2,1.982253516,1.998327801,2.173168194,2.190175564,4.840239067,4.84032191,5.325439903,5.324998927,995.0408448,1.406,590
-0.201153371,-0.067640927,18.33386783,39.81,42.6,-10.9,14.1212825,0.8537,0.7138,4.6054,1.1701,0.894,0.4712,6.1641,2.3848,0.9436,0.4445,7.6514,0.8901,0.7087,0.6807,3.2969,1.3834,0.7257,0.6242,3.5021,1.3592,0.758,0.5846,4.723,4.2042,1,1,3,3,1.943181155,1.948720093,2.080460045,2.081448774,4.841135664,4.841136691,5.74490548,5.744615733,616.3940945,1.4305,531
-0.198230593,-0.076969331,15.920355,100.59,773.67,-8.24,14.12128029,0.8244,0.5617,4.25,1.6406,0.8793,0.4792,4.8946,2.9359,0.5436,0.5304,3.1439,1.5706,0.7285,0.5628,3.6267,1.6304,0.7995,0.4949,4.422,2.7228,0.6824,0.6197,3.916,1.2709,1,1,3,3,1.953930654,1.979812617,2.114332282,2.118429843,4.841028797,4.841689245,5.744500016,5.74485487,651.383665,1.4072,461
-0.218916355,-0.087913412,1.00148624,42.03,6.62,-12.8,14.12128605,0.9085,0.6261,5.4315,0.6344,0.8353,0.6099,5.0063,1.8429,0.9104,0.651,5.6033,1.3083,0.7112,0.6369,3.8488,0.5574,0.7286,0.6965,4.2892,0.485,0.8147,0.5991,4.6055,2.1658,1,2,1,1,1.902584558,2.033105998,2.089688972,2.095116703,4.84429149,5.324570371,4.840896798,4.840905803,578.7766342,1.4448,611
-0.204344547,-0.092466998,9.51301,54.08,463.64,-6.43,14.12128183,0.9538,0.3274,5.2451,3.9316,0.9213,0.4327,5.0106,3.2253,0.8906,0.3149,5.236,1.0447,0.9217,0.3359,5.0015,3.8111,0.853,0.4321,4.7259,3.199,0.8572,0.3588,4.8944,1.0944,1,1,2,2,1.971336095,1.992324522,2.171083831,2.171572241,4.840183018,4.84043146,5.325175632,5.325316975,581.7799652,1.4448,496
-0.23060676,-0.10677337,15.33259915,27.57,345.21,-7.36,14.12127995,0.8541,0.5234,4.4608,3.0537,0.8483,0.4859,4.0555,2.5567,0.8224,0.6506,4.1408,1.4911,0.8057,0.5307,4.183,3.0097,0.7217,0.537,3.5064,2.3259,0.7297,0.6131,3.6743,1.7332,1,2,2,4,1.973755811,1.977385142,2.118224964,2.399688521,4.840999887,5.324573196,5.325115274,8.105009195,583.8893624,1.4448,565
-0.187137926,-0.071722587,7.32099543,404.83,327.96,-7.44,14.12128278,0.966,0.3238,5.2977,4.4298,0.9589,0.3376,4.8796,3.8351,0.9561,0.3135,4.009,3.4412,0.9297,0.3254,5.1419,4.4053,0.9336,0.3409,4.6419,3.8097,0.9273,0.3196,3.8744,3.2423,1,1,2,2,1.958050306,1.996103705,2.095923901,2.151682597,4.840509703,4.840396605,5.325383453,5.325431873,572.4626976,1.4906,430
-0.230846407,-0.116533334,13.10507658,19.82,7.44,-9.85,14.12128064,0.8338,0.5889,6.3302,4.0985,0.7987,0.2742,5.4461,4.5933,0.919,0.341,5.934,4.3204,0.7495,0.5853,5.0164,4.5387,0.7733,0.2778,5.2948,4.3975,0.7288,0.5867,4.5786,0.2107,1,1,2,2,1.962949057,2.029414448,2.087891281,2.088060104,4.84132441,4.843377704,5.324699673,5.324702936,669.1453826,1.4448,480
-0.241793879,-0.083582567,11.86465832,324.21,0.96,-7.04,14.12127944,0.8513,0.543,4.1187,1.278,0.7809,0.649,4.0898,0.2501,0.7703,0.6848,3.8406,0.3319,0.6704,0.761,3.4825,0.7824,0.7274,0.5784,3.5486,0.7942,0.7398,0.6748,3.8974,0.2699,1,2,2,4,1.928,2.061728644,2.062715201,2.487,4.841186131,5.324531358,5.324530579,8.104996525,461.1019593,1.4448,465
-0.191445879,-0.093308673,6.15291827,90.61,300.43,-7.85,14.12128287,0.9238,0.4407,5.6942,4.6732,0.9415,0.4397,6.2252,4.7573,0.8904,0.3333,4.6403,3.3588,0.8056,0.5374,4.4166,3.5621,0.8414,0.5533,5.0785,3.5175,0.8799,0.5224,5.4595,4.0354,1,1,2,2,1.973726931,1.999222599,2.106271113,2.192763097,4.840762252,4.840325625,5.325058465,5.324961975,784.9591695,1.406,632
-0.205199212,-0.054960206,4.21601581,453.31,610.61,-5.97,14.12128099,0.9189,0.3547,4.4526,3.7253,0.9029,0.2603,3.0738,2.3491,0.7497,0.5111,4.0342,1.7649,0.5708,0.4591,2.7275,2.9386,0.86,0.3999,4.2333,3.2719,0.6846,0.5137,3.5509,2.7042,1,1,3,3,1.978185279,2.008435461,2.078629597,2.120275925,4.84169706,4.840839679,5.745286509,5.745387618,486.9103574,1.4906,454
-0.18057512,-0.08170097,7.76066887,124.83,449.3,-6.94,14.12128108,0.9591,0.3267,5.1931,3.9635,0.9305,0.4079,4.912,3.3375,0.9347,0.3285,4.2979,3.5076,0.9349,0.3297,5.0067,3.9419,0.8712,0.4095,4.6743,3.3269,0.8857,0.3267,3.9588,3.1726,1,1,2,2,1.970854383,1.992658024,2.167834173,2.170732826,4.840248474,4.840522348,5.325350604,5.325508222,699.6834497,1.4906,449
-0.208644559,-0.098210174,15.18480681,10.7,6.74,-8.4,14.12128589,0.918,0.4354,6.7111,5.1958,0.8877,0.2271,5.4182,4.2394,0.9571,0.3402,6.3903,4.5945,0.854,0.4451,6.133,4.8481,0.7853,0.5101,4.623,2.6359,0.8676,0.4161,5.5423,3.729,1,2,1,2,1.924149163,1.991097436,2.02636892,2.178057391,4.84269913,5.324696702,4.840886606,5.324992306,597.2277075,1.4448,573
-0.221326394,-0.07551307,3.71047599,70.12,305.01,-9.63,14.12127768,0.7714,0.665,3.595,1.0567,0.8204,0.2808,3.4699,2.4613,0.8851,0.549,4.6071,2.7653,0.6864,0.6676,3.384,1.0646,0.7972,0.5586,3.9514,2.6454,0.5363,0.5517,2.6119,1.4932,1,2,3,3,1.972103446,2.00202023,2.051478004,2.137655258,4.841177286,5.324798476,5.745357785,5.745391935,516.0066082,1.406,466
-0.198456131,-0.06768528,8.02505412,171.19,191.76,-8.3,14.12128479,0.8415,0.6383,4.2116,1.1788,0.867,0.3309,3.7605,1.7636,0.858,0.5194,4.3745,1.9702,0.7172,0.6252,3.6825,1.2968,0.7955,0.5458,4.0893,2.0393,0.813,0.3603,3.6863,1.6866,1,1,2,2,1.99529672,2.023609152,2.066520989,2.098211143,4.841194819,4.841039777,5.32461099,5.324580647,578.6037917,1.406,512
-0.201997675,-0.094835775,13.06221445,4.66,228.78,-6.76,14.12127485,0.9635,0.4066,5.0023,3.075,0.9658,0.4061,5.4121,3.1328,0.9001,0.557,4.9123,2.2838,0.9311,0.4084,4.7703,3.0552,0.9258,0.417,4.9558,3.0738,0.7476,0.6228,3.9136,1.746,2,2,3,3,2.000617155,2.000617155,2.007933764,2.007933764,5.324519912,5.324520155,5.745057231,5.745057167,651.6643718,1.4969,593
-0.207465891,-0.090142499,11.50353094,158.01,817.73,-8.81,14.12127888,0.8172,0.5418,4.3235,1.9022,0.8349,0.4949,4.4535,2.4806,0.5057,0.5273,2.8966,2.0622,0.7141,0.5457,3.5645,1.8755,0.7882,0.5037,4.2506,2.3872,0.6186,0.6125,3.6255,1.3904,1,1,3,3,1.959596387,1.971804503,2.118043673,2.118064683,4.841166782,4.841971879,5.745338951,5.745195974,699.2809812,1.4305,434
-0.226120447,-0.10229907,18.69684113,512.74,59.42,-8.96,14.12127976,0.8505,0.5244,5.5121,2.5173,0.8498,0.6237,5.9675,0.9787,0.8065,0.2799,5.1208,4.6185,0.7551,0.6672,5.076,1.7153,0.8096,0.4876,5.0498,3.5687,0.7318,0.6032,4.3791,0.5179,2,1,2,4,1.942199526,2.014611873,2.183042602,2.375745357,5.324510316,4.840923183,5.324965529,8.105001083,595.7585832,1.4448,558
-0.213517095,-0.081379927,6.53464234,0.13,0.21,-9.13,14.12128141,0.8817,0.5209,5.2036,2.5953,0.9236,0.3407,5.6815,4.0746,0.8106,0.5856,4.1912,1.2162,0.7807,0.5428,4.6316,2.315,0.8333,0.3799,4.7887,3.5589,0.648,0.7374,3.5107,0.333,1,1,2,2,1.949000257,2.013000248,2.077396688,2.07757551,4.841278451,4.843082697,5.324778366,5.324777051,501.9999028,1.4448,496
-0.204905691,-0.081364766,8.9819285,79.81,232.73,-6.73,14.12128341,0.9085,0.4533,5.1489,3.6927,0.9365,0.3546,6.0104,4.5555,0.9836,0.2528,6.5263,5.405,0.8301,0.4711,4.5706,3.4557,0.7399,0.579,4.0713,2.2229,0.8521,0.4089,5.2655,3.7717,1,1,2,2,1.966460272,2.012613723,2.130911777,2.197547042,4.840784375,4.84031361,5.324998635,5.324692563,542.083612,1.4448,546
-0.187291033,-0.053380132,7.00901717,203.12,105.87,-8.4,14.12128301,0.92,0.371,5.11,3.8349,0.8815,0.6237,4.9145,1.5454,0.9252,0.3966,5.1888,3.6407,0.7217,0.6132,3.5097,1.6589,0.895,0.4003,5.1319,3.5223,0.7536,0.5555,4.1065,2.148,1,1,2,2,1.943488101,1.989586892,2.128606352,2.137708352,4.840860457,4.84071682,5.325742438,5.325517321,505.9902719,1.406,486
-0.214832467,-0.079338609,7.64147035,243.48,101.79,-8.53,14.12128002,0.7659,0.659,3.8518,0.5266,0.8451,0.5808,4.3403,2.3227,0.7022,0.5968,3.2589,1.0492,0.6132,0.6603,3.0255,0.5072,0.6549,0.605,3.316,1.9727,0.7109,0.6325,3.2257,1.1113,2,2,2,2,1.944343077,1.995296469,2.064362613,2.064787156,5.324261391,5.324199272,5.324483332,5.324464628,612.4575848,1.3441,566
-0.209063996,-0.079578246,14.26000332,115.63,493.02,-7.02,14.12128133,0.9607,0.3308,5.5715,4.0736,0.9313,0.3939,5.2489,3.6081,0.9746,0.3435,5.9928,4.4697,0.9173,0.3388,5.2445,3.9911,0.8584,0.4037,4.7783,3.4954,0.7359,0.6458,4.5724,1.271,1,1,2,2,1.987210608,2.002616538,2.155835569,2.191700253,4.840216379,4.840255747,5.32535367,5.324870881,472.1129721,1.406,478
-0.177244382,-0.090823331,4.97993264,89.25,304.07,-7.2,14.12120444,0.9679,0.2983,6.1086,5.0137,0.9417,0.5074,5.9553,3.5302,0.9459,0.4551,5.3718,2.9845,0.8686,0.3456,4.9879,4.664,0.8624,0.4579,5.5776,3.9379,0.879,0.4544,4.9003,2.8983,1,2,2,3,1.970957382,2.033074765,2.034465532,2.083368906,4.841770784,5.325189456,5.324931546,5.745435292,787.0017771,1.4448,556
-0.218127302,-0.056633495,5.3753601,232.11,577.3,-7.41,14.12128072,0.8245,0.553,4.0609,1.7717,0.7155,0.5658,3.8053,1.8032,0.8226,0.341,3.0554,1.5387,0.5294,0.5672,2.5755,1.5861,0.6673,0.5646,3.5298,1.3083,0.8121,0.5498,3.8904,1.2993,1,1,3,3,1.977935793,2.011669207,2.075188907,2.120705071,4.841719951,4.840834465,5.745152383,5.745369648,477.0019657,1.4906,461
-0.237901694,-0.104586692,19.95495592,296.01,33.92,-8.98,14.12127832,0.8854,0.5499,5.2312,3.146,0.8645,0.6553,4.8288,1.7275,0.8915,0.6118,5.3146,1.9821,0.7113,0.6124,3.9537,2.1703,0.822,0.6085,4.7407,2.2495,0.7806,0.6145,4.3929,1.7488,2,1,2,4,1.966891456,2.022372122,2.16889488,2.3797565,5.32449059,4.840639542,5.324927749,8.10500841,564.1132958,1.4448,528
-0.215080207,-0.095046853,11.08598511,40.14,214.95,-8.23,14.12128474,0.8316,0.6053,4.2029,2.0003,0.9202,0.4001,6.0021,4.5278,0.8654,0.4991,4.474,2.5274,0.6776,0.6154,3.4729,1.8871,0.8169,0.6673,4.167,1.6584,0.8819,0.4094,5.6685,4.3444,1,1,2,2,1.969709623,1.978067997,2.019729932,2.173254242,4.841236991,4.842612225,5.324662661,5.325012022,680.4849004,1.4448,616
-0.208582078,-0.065050752,12.74508773,5.34,48.42,-6.33,14.12128591,0.8739,0.6176,3.833,0.5187,0.8756,0.657,3.4882,0.3189,0.8776,0.6919,3.9464,0.5189,0.8093,0.6191,3.634,0.4932,0.7091,0.6884,3.3221,0.2202,0.7849,0.6448,4.0415,1.4971,1,1,1,1,2.00625148,2.00625148,2.069543186,2.069543186,4.840545266,4.840545424,4.841988687,4.841986241,491.2389125,1.4448,471
-0.18053875,-0.07247965,9.01239081,81.51,218.81,-8.68,14.12128354,0.9754,0.3397,5.3396,3.9655,0.9507,0.382,4.9775,3.4745,0.9659,0.3176,4.3221,3.6108,0.9463,0.3412,5.1166,3.9428,0.908,0.3849,4.8809,3.4787,0.8546,0.4174,4.8061,3.0363,1,1,1,2,1.991394988,2.013663825,2.079189506,2.14669001,4.840514761,4.840380718,4.841995869,5.325425596,608.0517825,1.4906,452
-0.204614474,-0.065691001,1.48586623,11.02,295.85,-10.2,14.12127756,0.7755,0.6571,3.6381,1.0934,0.8228,0.2852,3.5017,2.4286,0.8772,0.5616,4.5038,2.3213,0.6969,0.6635,3.4574,1.0592,0.7851,0.5708,3.8679,2.5441,0.5561,0.5438,2.733,1.3775,1,2,3,3,1.970190346,2.009156291,2.057140005,2.145575214,4.841203822,5.324799499,5.745206304,5.745407858,549.0588511,1.406,485
-0.213426164,-0.098999306,6.40284075,0.03,1.99,-6.68,14.12127602,0.887,0.5674,4.8463,0.9645,0.862,0.6589,5.0939,0.5854,0.869,0.6367,4.8981,1.5899,0.7906,0.5759,4.1928,1.0006,0.7217,0.6538,3.8036,0.9549,0.7718,0.7368,4.2483,0.5567,2,2,3,3,1.984744064,1.984744064,2.008828763,2.008828763,5.324079456,5.324079651,5.745103737,5.745102457,650.9801451,1.5011,628
-0.206756727,-0.083662277,8.32372646,7.52,181.08,-7.04,14.12128004,0.9415,0.4617,5.3678,3.402,0.9317,0.3893,5.7849,4.4581,0.8463,0.5406,4.8183,1.872,0.8689,0.4662,4.8528,3.2635,0.7519,0.5676,4.0743,1.5766,0.829,0.4528,4.7924,3.4314,1,2,2,3,1.918945023,2.016047122,2.098243551,2.124310241,4.841177207,5.324518499,5.324686914,5.744894251,531.7232981,1.4448,522
-0.195904967,-0.098051642,13.42428455,7.85,342.26,-7.94,14.12127511,0.9317,0.421,5.2926,3.1553,0.9522,0.4122,5.6493,3.2234,0.8858,0.549,5.1611,2.1992,0.8967,0.4244,5.0422,3.1272,0.9057,0.4182,5.2484,3.1832,0.7029,0.581,3.8037,2.0515,2,2,3,3,1.995667808,1.996406021,2.009180181,2.009547461,5.324451233,5.324428436,5.745047059,5.745033529,734.1361467,1.4969,646
-0.209032679,-0.087001257,1.20156092,97.66,131.62,-8.08,14.12127984,0.8551,0.7065,4.2763,0.1787,0.8594,0.6736,4.3711,1.5327,0.9058,0.6647,4.745,1.8282,0.7006,0.7068,3.5165,0.2455,0.702,0.6923,3.5462,0.4063,0.7705,0.6601,3.8982,0.8409,1,2,2,1,2.050409959,2.058645428,2.079550432,2.09043273,4.841348731,5.324683505,5.324657207,4.841173969,665.9613205,1.4072,582
-0.199600282,-0.078472826,11.25281912,134.62,52.48,-7.44,14.12128441,0.9756,0.2842,6.4786,5.4762,0.929,0.393,5.4835,3.8606,0.8858,0.5969,4.7654,1.4829,0.903,0.3214,5.8723,5.0985,0.8737,0.4043,4.9956,3.786,0.7352,0.5787,4.1458,2.2963,1,1,2,1,1.995519231,2.034563835,2.081284699,2.083158659,4.840359376,4.84035329,5.324789371,4.841743315,499.4401437,1.4448,539
-0.206335032,-0.093927345,7.54907374,25.28,112.47,-7.48,14.12127552,0.8799,0.5999,5.0247,1.1691,0.8711,0.627,5.3127,1.7561,0.8915,0.613,5.4041,2.3981,0.7779,0.6058,4.2015,1.1864,0.7549,0.6269,4.2048,1.2135,0.764,0.739,4.2861,0.5937,2,2,3,3,1.976211021,1.987684834,2.026845332,2.034475854,5.324042373,5.324036964,5.744381884,5.744742124,676.6269057,1.4448,642
-0.222685877,-0.104350927,16.44322784,65.99,76.47,-7.94,14.1212867,0.906,0.4437,5.8088,4.46,0.8597,0.5007,4.5165,2.8799,0.932,0.4195,6.0394,4.4244,0.8376,0.4586,5.3465,4.2538,0.8071,0.507,4.2417,2.821,0.6707,0.637,3.5937,1.5086,1,2,1,2,1.908727325,1.995732447,2.028476522,2.164502021,4.842958379,5.324735124,4.840887396,5.325041962,569.1728633,1.4448,560
-0.184671948,-0.071083087,9.19418574,330.81,260.93,-7.33,14.12128417,0.9684,0.3328,5.3402,4.4525,0.9668,0.2978,4.8725,3.6339,0.9663,0.3115,4.2206,3.8102,0.9355,0.3348,5.1716,4.4586,0.938,0.3016,4.554,3.5875,0.9314,0.3204,3.8908,3.4173,1,1,1,2,1.967344911,2.034728729,2.077041646,2.1020245,4.840516895,4.840481094,4.841985768,5.325390266,583.7162009,1.4906,442
-0.210762054,-0.103125191,15.28096497,6.13,325.01,-7.12,14.12127602,0.9248,0.4229,5.23,3.1819,0.9484,0.4197,5.5907,3.1893,0.8819,0.4745,5.1897,3.6714,0.8908,0.4262,4.9908,3.1358,0.8882,0.4283,5.1425,3.0584,0.6988,0.5955,3.8795,1.6632,2,2,3,3,1.987711498,1.989620567,2.003231889,2.004037175,5.324343577,5.324378701,5.744734221,5.744590101,641.6724883,1.4448,606
