HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),refractive index,ML_pred,Exp. Quantum Yield
-0.21508,-0.095047,11.085985,40.14,214.950001,-8.232766,1.82223,14.121285,0.8316,0.6053,4.2029,2.0003,0.9202,0.4001,6.0021,4.5278,0.8654,0.4991,4.474,2.5274,0.6776,0.6154,3.4729,1.8871,0.8169,0.6673,4.167,1.6584,0.8819,0.4094,5.6685,4.3444,1,1,2,2,1.96971,1.978068,2.01973,2.173254,4.841237,4.842612,5.324663,5.325012,1.4448,0.2877298,0.039999999
-0.196847,-0.081336,12.13977,148.62,180.349999,-7.363146,2.44869,14.121282,0.9847,0.2253,6.8487,5.8922,0.9339,0.3906,5.5344,3.9888,0.956,0.4055,5.8093,4.1491,0.9544,0.2443,6.5737,5.6889,0.8852,0.3899,5.0413,4.0145,0.8242,0.4953,4.9403,2.8315,1,1,2,2,2.001068,2.004396,2.100101,2.183435,4.840311,4.840248,5.324744,5.324861,1.4448,0.338991255,0.170000002
-0.191485,-0.075304,9.569732,33.6,242.190001,-7.976032,1.96107,14.121276,0.866,0.512,5.6706,2.9733,0.8944,0.3839,6.4225,4.4384,0.9373,0.382,7.5562,2.2467,0.7556,0.5171,4.404,2.8783,0.7288,0.4792,3.8404,5.0882,0.7764,0.4699,5.1603,1.1722,2,2,3,3,1.97103,1.976837,2.042602,2.045223,5.324453,5.324428,5.74426,5.744925,1.4448,0.28044036,0.170000002
-0.195905,-0.098052,13.424285,7.85,342.26,-7.944802,1.68906,14.121275,0.9317,0.421,5.2926,3.1553,0.9522,0.4122,5.6493,3.2234,0.8858,0.549,5.1611,2.1992,0.8967,0.4244,5.0422,3.1272,0.9057,0.4182,5.2484,3.1832,0.7029,0.581,3.8037,2.0515,2,2,3,3,1.995668,1.996406,2.00918,2.009547,5.324451,5.324428,5.745047,5.745034,1.4969,0.230442658,0.119999997
-0.201427,-0.099564,14.042354,8.96,355.610001,-7.686025,1.76897,14.121275,0.9222,0.4293,5.1123,3.1303,0.9454,0.4202,5.4723,3.221,0.7692,0.3207,3.7621,2.7657,0.8854,0.4327,4.8692,3.1007,0.8911,0.427,5.0396,3.1742,0.6938,0.5839,3.751,1.9593,2,2,3,3,1.995022,1.995992,2.008949,2.009533,5.324467,5.324442,5.745058,5.745046,1.4969,0.211632818,0.239999995
-0.192383,-0.076452,4.612096,109.02,239.48,-8.42507,2.03779,14.121282,0.9083,0.4714,5.1264,3.9894,0.9388,0.4059,5.8406,4.3933,0.8426,0.2383,3.4449,2.3427,0.8396,0.4789,4.5482,3.8925,0.8097,0.4594,4.5128,4.1225,0.7215,0.5546,4.013,2.7902,1,1,2,2,1.981592,1.988591,2.157694,2.184997,4.840221,4.840789,5.325824,5.324792,1.406,0.35144645,0.810000002
-0.200225,-0.07868,13.114868,64.7,93.249999,-5.929429,2.5188,14.121285,0.965,0.3152,6.4513,5.2786,0.93,0.4202,5.5296,3.7938,0.9438,0.3893,5.8724,4.0936,0.9085,0.3397,5.924,4.9772,0.8667,0.4319,5.0351,3.6769,0.8322,0.4642,4.8051,3.1179,1,1,1,2,1.99211,2.038019,2.061913,2.084263,4.840352,4.840336,4.842094,5.324763,1.4448,0.255933583,0.02
-0.215334,-0.091371,14.626654,58.2,184.89,-9.743071,2.0405,14.12128,0.8057,0.6611,5.0643,2.3595,0.9302,0.4635,6.5891,5.3774,0.9289,0.5032,6.9665,4.3304,0.7359,0.6461,4.4036,2.6259,0.8243,0.4937,5.5011,4.7893,0.7135,0.5655,3.9838,1.6622,2,1,2,4,1.966445,1.988355,2.17589,2.395508,5.324508,4.840963,5.324947,8.105006,1.4448,0.388041407,0.349999994
-0.209964,-0.099952,15.509315,4.35,293.730001,-7.07204,2.00726,14.121276,0.9263,0.414,5.1488,3.1442,0.9486,0.3932,5.5119,3.2747,0.8642,0.5425,4.7886,2.8499,0.8896,0.4195,4.9026,3.1073,0.8808,0.4116,5.0188,3.1361,0.7012,0.5958,3.836,1.8001,2,2,3,3,1.9878,1.98935,2.005289,2.006715,5.324341,5.324361,5.744175,5.744746,1.4448,0.167494491,0.100000001
-0.197389,-0.068287,9.012648,6.48,39.439999,-7.093964,2.41924,14.121282,0.906,0.6007,5.5715,2.2758,0.9285,0.5288,5.6301,2.7391,0.8817,0.6734,5.1519,1.2539,0.7892,0.6072,4.808,2.1298,0.7722,0.6331,4.4427,1.7787,0.874,0.571,5.2364,2.3581,1,1,2,2,1.973567,1.993245,2.158292,2.181009,4.840456,4.840219,5.324749,5.325416,1.4448,0.643937588,0.810000002
-0.203245,-0.062109,10.224734,24.2,93.67,-7.121196,2.62876,14.121282,0.9236,0.6015,5.5455,2.0819,0.9292,0.4999,5.8995,3.2389,0.859,0.6217,5.1932,1.9929,0.7401,0.6091,4.3831,1.9737,0.7538,0.6052,4.3781,1.2647,0.792,0.5971,4.7886,2.1492,1,1,2,2,1.97754,1.994009,2.16162,2.250841,4.840206,4.840582,5.324805,5.32482,1.4448,0.664280355,0.360000014
-0.221326,-0.075513,3.710476,70.12,305.01,-9.630412,2.40307,14.121278,0.7714,0.665,3.595,1.0567,0.8204,0.2808,3.4699,2.4613,0.8851,0.549,4.6071,2.7653,0.6864,0.6676,3.384,1.0646,0.7972,0.5586,3.9514,2.6454,0.5363,0.5517,2.6119,1.4932,1,2,3,3,1.972103,2.00202,2.051478,2.137655,4.841177,5.324798,5.745358,5.745392,1.406,0.381629884,0.02
-0.22309,-0.114319,11.476136,10.06,115.419999,-6.555691,1.75474,14.121276,0.8839,0.5826,5.0834,0.6083,0.8603,0.6635,5.2836,1.219,0.883,0.6498,5.3742,0.9693,0.7896,0.5962,4.3065,0.5503,0.7559,0.6563,4.0934,0.3926,0.7775,0.7367,4.4882,0.4365,2,2,3,3,1.982969,1.983856,2.010792,2.018392,5.324123,5.324166,5.744923,5.745028,1.4448,0.179291338,0.033
-0.209412,-0.0814,4.043472,12.54,2.489999,-10.248799,2.28075,14.12128,0.9367,0.5306,5.1208,3.3514,0.9787,0.3259,6.5025,5.3774,0.7716,0.6891,4.0764,1.0429,0.7738,0.5744,4.1671,2.6339,0.7667,0.601,4.1883,1.9119,0.8739,0.4825,5.3978,3.2573,1,2,2,3,1.926457,1.998721,2.093995,2.19168,4.841149,5.324319,5.324704,5.744932,1.4448,0.766079187,0.75
-0.191461,-0.11661,3.40757,92.99,334,-7.335006,1.24618,14.121281,0.971,0.2848,5.9522,4.5482,0.9408,0.3702,5.3985,4.1218,0.9497,0.3564,5.3241,3.7538,0.9559,0.2881,5.776,4.5323,0.8972,0.3715,5.0129,4.1029,0.9205,0.3784,5.4662,3.8892,1,1,2,2,1.982254,1.998328,2.173168,2.190176,4.840239,4.840322,5.32544,5.324999,1.406,0.398715824,0.02
-0.226963,-0.090946,14.109329,44.29,175.04,-8.628125,2.3023,14.12128,0.8268,0.6077,4.5324,1.6176,0.8748,0.5018,4.7921,2.0793,0.9349,0.1461,5.9502,5.4777,0.7081,0.5959,3.6801,1.4799,0.787,0.5077,4.2133,1.9996,0.7712,0.5452,4.2116,1.1487,1,2,2,2,1.910032,2.055048,2.094101,2.125002,4.841217,5.324749,5.324699,5.32602,1.4448,0.409716904,0.600000024
-0.171758,-0.040692,2.969791,2.44,62.809999,-7.545468,2.44917,14.121282,0.8961,0.5373,4.5685,2.1833,0.9199,0.5584,4.6424,1.4745,0.9073,0.1978,4.86,4.2429,0.8508,0.5347,4.3949,2.206,0.8183,0.5615,4.2941,1.4019,0.7401,0.6643,3.6648,0.9913,1,1,2,2,1.963202,1.963202,2.143544,2.143544,4.840399,4.840399,5.325642,5.325642,1.406,0.619935274,0.370000005
-0.221893,-0.087021,7.040126,5.4,16.809999,-8.074111,2.4522,14.121281,0.8667,0.5758,5.3161,2.5145,0.9361,0.3024,5.9663,4.5035,0.8041,0.2916,4.3382,2.0148,0.7191,0.6021,4.4743,1.6317,0.8509,0.3505,5.0896,3.887,0.6561,0.7158,3.4995,0.1256,1,1,2,2,1.952922,2.009341,2.08219,2.08219,4.841356,4.843174,5.32474,5.324741,1.4448,0.577129185,0.300000012
-0.218127,-0.056633,5.37536,232.11,577.3,-7.410117,2.59957,14.121281,0.8245,0.553,4.0609,1.7717,0.7155,0.5658,3.8053,1.8032,0.8226,0.341,3.0554,1.5387,0.5294,0.5672,2.5755,1.5861,0.6673,0.5646,3.5298,1.3083,0.8121,0.5498,3.8904,1.2993,1,1,3,3,1.977936,2.011669,2.075189,2.120705,4.84172,4.840834,5.745152,5.74537,1.4906,0.476909667,0.540000021
-0.213426,-0.098999,6.402841,0.030033,1.99,-6.682215,1.90482,14.121276,0.887,0.5674,4.8463,0.9645,0.862,0.6589,5.0939,0.5854,0.869,0.6367,4.8981,1.5899,0.7906,0.5759,4.1928,1.0006,0.7217,0.6538,3.8036,0.9549,0.7718,0.7368,4.2483,0.5567,2,2,3,3,1.984744,1.984744,2.008829,2.008829,5.324079,5.32408,5.745104,5.745102,1.5011,0.188029721,0.25999999
-0.191755,-0.057956,1.55173,133.8,123.72,-8.29525,2.27177,14.121283,0.8227,0.6121,4.0034,1.074,0.8956,0.5656,4.3873,1.355,0.796,0.3718,3.4443,1.1812,0.7478,0.6115,3.6242,1.0294,0.7442,0.5921,3.4877,0.6477,0.7195,0.6788,3.7021,0.6749,1,1,2,2,1.951062,1.979448,2.099233,2.136987,4.840807,4.840764,5.325112,5.325087,1.406,0.762075961,0.899999976
-0.191446,-0.093309,6.152918,90.61,300.43,-7.853217,1.5797,14.121283,0.9238,0.4407,5.6942,4.6732,0.9415,0.4397,6.2252,4.7573,0.8904,0.3333,4.6403,3.3588,0.8056,0.5374,4.4166,3.5621,0.8414,0.5533,5.0785,3.5175,0.8799,0.5224,5.4595,4.0354,1,1,2,2,1.973727,1.999223,2.106271,2.192763,4.840762,4.840326,5.325058,5.324962,1.406,0.483194828,0.519999981
-0.187216,-0.08546,3.403775,6.48,73.95,-8.514696,2.05132,14.121281,0.9577,0.3067,7.4558,6.646,0.9733,0.2873,7.8488,6.7605,0.89,0.2161,4.6893,3.684,0.9096,0.319,6.8634,6.4298,0.9565,0.3001,7.6755,6.539,0.6782,0.6318,3.8866,1.8451,1,1,2,2,1.962262,2.029073,2.060416,2.088384,4.841347,4.842786,5.32482,5.324778,1.4448,0.449522018,0.079999998
-0.20799,-0.090798,28.060629,5.7,17.94,-12.60357,2.47945,14.121277,0.9898,0.164,5.8335,4.1854,0.9586,0.3218,5.3351,3.4421,0.9697,0.3305,5.4763,3.3105,0.9751,0.1741,5.7158,4.0949,0.8963,0.336,5.01,3.253,0.7091,0.5938,3.5409,0.7304,2,2,2,2,2.011238,2.025127,2.030919,2.051586,5.324701,5.324695,5.324563,5.32445,1.4448,0.486443788,0.879999995
-0.20849,-0.096803,15.737329,36.72,230.95,-9.487412,1.66192,14.121279,0.8068,0.6601,4.8006,2.2242,0.9352,0.4569,6.1086,4.748,0.8985,0.5569,6.0922,3.7021,0.6968,0.6471,3.955,2.4181,0.8594,0.4922,5.2153,4.4271,0.7112,0.61,4.2595,0.3118,2,1,2,4,1.979341,1.981894,2.163957,2.39557,5.324445,4.841131,5.324915,8.105014,1.4448,0.307218701,0.029999999
-0.200609,-0.079183,10.86632,94.99,51.000001,-6.497634,2.50346,14.121285,0.9701,0.3037,6.5087,5.4157,0.9296,0.4049,5.4957,3.863,0.9109,0.5116,5.2554,2.3734,0.9018,0.3389,5.8803,5.0209,0.8686,0.418,5.0174,3.748,0.7474,0.5876,4.0757,1.9561,1,1,1,2,1.991188,2.038974,2.060042,2.084146,4.840335,4.840346,4.842059,5.324793,1.4448,0.400948882,0.02
-0.192489,-0.083514,8.453132,4.94,113.120001,-7.27766,2.03732,14.12128,0.9564,0.4157,5.6071,3.8757,0.9722,0.3037,6.682,5.5754,0.8617,0.4828,5.0496,1.9464,0.9036,0.4168,5.2043,3.838,0.8851,0.3504,5.629,4.7609,0.7471,0.5697,4.1088,1.8636,1,2,2,3,1.920075,2.011902,2.098581,2.162663,4.841179,5.32452,5.32471,5.744104,1.4448,0.336828202,0.230000004
-0.201998,-0.094836,13.062214,4.66,228.779999,-6.757613,1.90282,14.121275,0.9635,0.4066,5.0023,3.075,0.9658,0.4061,5.4121,3.1328,0.9001,0.557,4.9123,2.2838,0.9311,0.4084,4.7703,3.0552,0.9258,0.417,4.9558,3.0738,0.7476,0.6228,3.9136,1.746,2,2,3,3,2.000617,2.000617,2.007934,2.007934,5.32452,5.32452,5.745057,5.745057,1.4969,0.213208899,0.340000004
-0.202708,-0.077739,8.774484,104.6,338.379999,-6.876257,2.00934,14.121276,0.8399,0.5462,4.6608,2.7047,0.8213,0.5696,4.3646,2.2649,0.8748,0.6144,5.2183,2.4033,0.7063,0.5592,3.6163,2.5755,0.7081,0.5783,3.4611,2.0679,0.7072,0.6275,3.6642,2.2436,2,2,3,3,1.967641,1.977725,2.018331,2.022712,5.324556,5.324518,5.745101,5.745069,1.5011,0.184797063,0.270000011
-0.227644,-0.115388,16.54479,158.97,282.24,-7.198642,1.75855,14.121279,0.8793,0.5803,4.6794,2.6634,0.8748,0.4888,4.1812,2.3164,0.8937,0.4839,4.6336,2.0408,0.8109,0.5788,4.2241,2.5811,0.8184,0.4873,4.2864,2.028,0.8026,0.5082,4.16,2.1886,2,1,2,4,1.989381,2.002195,2.132965,2.387051,5.324515,4.840967,5.32509,8.105016,1.4448,0.132084683,0.001
-0.202349,-0.06146,10.738882,20.86,101.74,-7.36504,2.64212,14.121282,0.9474,0.5381,5.3229,2.8452,0.8865,0.5883,4.8369,1.8507,0.8839,0.6806,5.1662,1.6245,0.7406,0.5954,4.2331,2.148,0.8258,0.5976,4.3725,1.9421,0.8601,0.5968,4.8916,1.9344,1,1,2,2,1.975727,1.986762,2.158305,2.173626,4.840266,4.840405,5.32527,5.324812,1.4448,0.674703419,0.819999993
-0.234076,-0.102499,17.443395,284.39,50.99,-8.392766,2.18529,14.121279,0.8834,0.5531,5.1674,3.2114,0.8728,0.65,4.8465,1.7735,0.8564,0.2308,4.5312,3.5401,0.7163,0.6006,4.007,2.3623,0.8313,0.6053,4.7566,2.3675,0.7786,0.6111,4.3475,1.8548,2,1,2,4,1.968448,2.008023,2.185808,2.380908,5.324477,4.840961,5.324984,8.105004,1.4448,0.513729393,0.779999971
-0.211799,-0.09681,8.423849,6.97,111.14,-7.100976,1.89227,14.121276,0.8754,0.6008,4.9928,0.8125,0.8588,0.6493,5.268,1.5792,0.88,0.6392,5.255,1.8487,0.7696,0.6099,4.2488,0.8018,0.7531,0.6475,4.2378,0.9971,0.7754,0.7236,4.254,0.526,2,2,3,3,1.986502,1.987869,2.015524,2.027042,5.324037,5.324104,5.745033,5.745028,1.4448,0.223155096,0.100000001
-0.206186,-0.098691,9.017415,43.26,245.1,-7.52006,2.05075,14.121283,0.9694,0.3158,5.4237,4.1378,0.9531,0.3754,5.2623,3.6634,0.9658,0.3402,5.8127,4.6313,0.9402,0.3214,5.1798,4.0918,0.9162,0.3771,5.1341,3.6487,0.8866,0.3667,5.2652,4.1951,1,1,2,2,1.967515,1.982949,2.146893,2.156862,4.840217,4.84041,5.325253,5.325316,1.4448,0.452973962,0.011
-0.205199,-0.05496,4.216016,453.31,610.610001,-5.966967,2.54667,14.121281,0.9189,0.3547,4.4526,3.7253,0.9029,0.2603,3.0738,2.3491,0.7497,0.5111,4.0342,1.7649,0.5708,0.4591,2.7275,2.9386,0.86,0.3999,4.2333,3.2719,0.6846,0.5137,3.5509,2.7042,1,1,3,3,1.978185,2.008435,2.07863,2.120276,4.841697,4.84084,5.745287,5.745388,1.4906,0.473514318,0.400000006
-0.204906,-0.081365,8.981928,79.81,232.730001,-6.729609,2.28747,14.121283,0.9085,0.4533,5.1489,3.6927,0.9365,0.3546,6.0104,4.5555,0.9836,0.2528,6.5263,5.405,0.8301,0.4711,4.5706,3.4557,0.7399,0.579,4.0713,2.2229,0.8521,0.4089,5.2655,3.7717,1,1,2,2,1.96646,2.012614,2.130912,2.197547,4.840784,4.840313,5.324999,5.324693,1.4448,0.505867183,0.569999993
-0.208957,-0.08633,3.045824,27.17,174.28,-9.009034,2.19825,14.121281,0.897,0.5006,5.3302,1.9642,0.9671,0.3931,6.2452,2.8883,0.9199,0.5172,5.4031,0.9841,0.7956,0.5107,4.4504,1.9786,0.8241,0.5164,4.6385,0.7141,0.7531,0.5807,4.0377,0.4153,1,2,2,3,1.903753,2.026823,2.076177,2.135489,4.841164,5.324311,5.324783,5.744969,1.4448,0.684773147,0.99000001
-0.198933,-0.058625,16.814335,17.69,722.41,-7.300798,2.47327,14.121279,0.8071,0.551,4.3037,1.5783,0.8756,0.5575,4.4317,1.5948,0.8549,0.6157,5.1547,1.2222,0.7394,0.5579,3.877,1.5176,0.7694,0.5902,3.5798,1.3974,0.6979,0.6181,4.1831,1.1295,1,1,3,3,1.967806,1.967806,2.125532,2.125532,4.841194,4.841195,5.744868,5.744868,1.412,0.653784215,0.07
-0.194132,-0.073555,6.020565,50.42,143.610001,-8.134997,2.26594,14.121281,0.9372,0.4698,5.4083,3.8147,0.9791,0.3391,5.6846,4.1783,0.9382,0.4604,5.5116,3.7924,0.8689,0.4667,4.9581,3.8393,0.7339,0.6225,3.4321,1.7725,0.9235,0.366,5.1939,3.7931,1,1,2,2,1.976827,1.989093,2.186378,2.227202,4.840192,4.840528,5.324827,5.326158,1.406,0.71614933,1
-0.215555,-0.093328,16.412617,72.25,193.78,-8.515694,2.04201,14.12128,0.8197,0.633,5.3027,2.722,0.9258,0.4908,6.4873,5.1571,0.9031,0.5286,6.6423,3.4942,0.7436,0.6145,4.5532,3.0077,0.8296,0.521,5.5344,4.5028,0.732,0.5986,4.3859,0.6032,2,1,2,4,1.963587,1.98753,2.17851,2.396812,5.324465,4.840961,5.324972,8.105005,1.4448,0.233561441,0.730000019
-0.215977,-0.094839,15.838322,27.84,159.36,-7.836625,1.82999,14.121285,0.8186,0.6288,4.595,1.743,0.9065,0.4854,5.6801,2.881,0.9224,0.4906,5.982,2.8107,0.6665,0.6182,3.6358,2.0215,0.8304,0.5216,4.6909,3.6801,0.8143,0.5056,5.3265,3.321,1,1,2,2,1.966425,1.975965,2.020106,2.163569,4.842886,4.841216,5.324566,5.324887,1.4448,0.168298766,0.660000026
-0.199729,-0.082078,14.739094,77.9,123.88,-6.681417,2.17922,14.121286,0.9427,0.4397,5.3141,3.8374,0.9335,0.5634,5.4951,3.4151,0.8886,0.4299,5.8013,4.254,0.864,0.4509,4.83,3.5763,0.7534,0.5486,4.1532,2.4357,0.8259,0.5168,4.9866,2.6119,1,1,2,2,1.93593,2.011385,2.094812,2.112965,4.840622,4.84086,5.324344,5.325599,1.4448,0.609720945,0.170000002
-0.209064,-0.079578,14.260003,115.63,493.020001,-7.022829,2.62649,14.121281,0.9607,0.3308,5.5715,4.0736,0.9313,0.3939,5.2489,3.6081,0.9746,0.3435,5.9928,4.4697,0.9173,0.3388,5.2445,3.9911,0.8584,0.4037,4.7783,3.4954,0.7359,0.6458,4.5724,1.271,1,1,2,2,1.987211,2.002617,2.155836,2.1917,4.840216,4.840256,5.325354,5.324871,1.406,0.446002305,0.790000021
-0.240136,-0.104252,19.461924,277.9,24.86,-9.11594,2.19685,14.121279,0.8611,0.6297,4.9682,1.955,0.8643,0.5947,4.7946,2.1695,0.8473,0.2307,4.4564,3.2014,0.7092,0.7096,3.9276,1.4107,0.8034,0.5178,4.5625,2.6453,0.7753,0.6626,4.2251,1.071,2,1,2,4,1.96758,2.004434,2.185424,2.378519,5.324482,4.841046,5.324961,8.105006,1.4448,0.489487797,0.629999995
-0.206335,-0.093927,7.549074,25.28,112.469999,-7.479393,1.83262,14.121276,0.8799,0.5999,5.0247,1.1691,0.8711,0.627,5.3127,1.7561,0.8915,0.613,5.4041,2.3981,0.7779,0.6058,4.2015,1.1864,0.7549,0.6269,4.2048,1.2135,0.764,0.739,4.2861,0.5937,2,2,3,3,1.976211,1.987685,2.026845,2.034476,5.324042,5.324037,5.744382,5.744742,1.4448,0.194578931,0.059999999
-0.207627,-0.084494,7.220943,7.6,148.23,-7.142213,2.34427,14.12128,0.9425,0.451,5.347,3.483,0.9535,0.3454,6.0587,4.9675,0.8257,0.5471,4.5099,1.476,0.8703,0.4557,4.8386,3.3765,0.799,0.4686,4.7043,2.6376,0.7858,0.5402,4.329,0.9093,1,2,2,3,1.921485,2.014351,2.092039,2.138318,4.841194,5.324519,5.324728,5.744908,1.4448,0.75074476,0.730000019
-0.204614,-0.065691,1.485866,11.02,295.85,-10.234773,2.25841,14.121278,0.7755,0.6571,3.6381,1.0934,0.8228,0.2852,3.5017,2.4286,0.8772,0.5616,4.5038,2.3213,0.6969,0.6635,3.4574,1.0592,0.7851,0.5708,3.8679,2.5441,0.5561,0.5438,2.733,1.3775,1,2,3,3,1.97019,2.009156,2.05714,2.145575,4.841204,5.3248,5.745206,5.745408,1.406,0.30331099,0.219999999
-0.208591,-0.060985,5.48075,107.12,244.180001,-9.852794,2.46955,14.121281,0.6878,0.7625,4.0108,0.7279,0.9729,0.2597,6.1236,5.4068,0.8178,0.5851,4.8435,2.4047,0.6679,0.7946,3.742,0.5372,0.55,0.4334,3.0849,4.0712,0.6909,0.5923,3.8003,2.3415,1,1,3,3,1.971336,1.973868,2.102321,2.145606,4.841412,4.840882,5.745313,5.745301,1.4906,0.47205916,0.899999976
-0.220548,-0.091186,17.179577,111.94,37.179999,-12.005584,2.12342,14.121279,0.8956,0.584,5.5503,3.2643,0.9574,0.4822,6.64,5.2717,0.8155,0.6435,4.8752,1.4634,0.7238,0.5565,3.8537,3.8992,0.7546,0.6061,4.4347,1.7353,0.8295,0.5713,5.3613,3.0394,2,1,2,4,1.974022,2.004819,2.180491,2.388644,5.324461,4.840842,5.324951,8.105005,1.4448,0.358531684,0.680000007
-0.227262,-0.084086,7.075597,25.96,216.54,-8.651296,2.32437,14.12128,0.7677,0.6923,3.5855,0.884,0.807,0.2969,3.4783,2.4349,0.986,0.0885,5.1376,4.7267,0.6835,0.6972,3.3282,0.8793,0.7358,0.6978,3.5287,1.1075,0.7565,0.2971,3.3638,2.41,1,2,2,4,1.975492,2.03461,2.079517,2.50046,4.841018,5.324737,5.32473,8.105001,1.4448,0.52980125,0.002
-0.192785,-0.057873,1.697693,127.1,106.520001,-8.29405,2.30144,14.121283,0.8226,0.6125,4.0038,0.993,0.8944,0.5668,4.3664,1.2063,0.7947,0.3078,3.4461,1.1591,0.7482,0.6122,3.6256,0.9519,0.74,0.5971,3.4498,0.6077,0.7184,0.6851,3.6948,0.6588,1,1,2,2,1.953763,1.978912,2.108718,2.139896,4.840804,4.840751,5.325103,5.325094,1.406,0.746091008,0.879999995
-0.202399,-0.058866,10.582897,20.54,91.29,-7.782185,2.63634,14.121282,0.9321,0.6085,5.322,2.2959,0.872,0.6024,4.8327,1.4562,0.8792,0.641,5.135,2.1361,0.7307,0.6137,4.1766,2.0882,0.8334,0.6097,4.5196,1.791,0.8367,0.6185,4.7489,1.7174,1,1,2,2,1.975265,1.987008,2.160146,2.170831,4.840265,4.840411,5.325272,5.324752,1.4448,0.630918443,0.889999986
-0.228991,-0.105561,8.164709,50.43,165.750001,-8.115067,1.80466,14.121282,0.8111,0.7928,4.1959,0.1094,0.8995,0.4781,5.5197,2.0644,0.8887,0.5305,5.4369,2.3245,0.7321,0.7953,3.6498,0.1992,0.7232,0.6765,3.741,0.6135,0.8091,0.5437,4.589,1.915,1,2,2,4,1.920115,2.019486,2.0517,2.507097,4.841089,5.324698,5.324536,8.105005,1.4448,0.111008652,0.100000001
-0.177224,-0.043881,9.769971,36.97,105.760001,-9.377576,2.50181,14.121281,0.9868,0.3993,6.1863,3.469,0.9592,0.4328,5.7915,3.202,0.9721,0.3703,6.1755,3.9644,0.755,0.5041,4.5696,2.5801,0.9201,0.4191,5.8111,3.3295,0.9233,0.507,5.5539,2.8097,1,1,2,2,1.987472,2.004689,2.178843,2.187365,4.840288,4.840275,5.324778,5.324848,1.406,0.657300174,0.25999999
