HOMO,LUMO,dipolemoment,H_T1_S1,H_T1_S0,f,emission_energy,density_Pt,CT_S1,R_EH _S1a,LAMBDA_S1,R_EH _S1b,CT_S2,R_EH _S2a,LAMBDA_S2,R_EH _S2b,CT_S3,R_EH _S3a,LAMBDA_S3,R_EH _S3b,CT_T1,R_EH _T1a,LAMBDA_T1,R_EH _T1b,CT_T2,R_EH _T2a,LAMBDA_T2,R_EH _T2b,CT_T3,R_EH _T3a,LAMBDA_T3,R_EH _T3b,coor_bond_type (1),coor_bond_type (2),coor_bond_type (3),coor_bond_type (4),coor_bond_length (1),coor_bond_length (2),coor_bond_length (3),coor_bond_length (4),density_coor (1),density_coor (2),density_coor (3),density_coor (4),refractive index,ML_pred,Exp. Quantum Yield
-0.215401,-0.086851,10.615227,14.74,179.149999,-7.741775,2.12797,14.12128,0.8398,0.6504,4.0836,1.6102,0.859,0.5844,4.2777,2.0048,0.8095,0.2703,3.4063,2.0537,0.7651,0.6541,3.7505,1.6011,0.7631,0.5896,3.8357,1.8667,0.735,0.7427,3.7192,1.0344,1,2,2,4,1.90149,2.059115,2.101314,2.482193,4.841071,5.324749,5.324715,8.104992,1.4448,0.338748008,0.300000012
-0.216136,-0.093358,15.494562,61.95,241.649999,-8.445338,1.85208,14.121279,0.7787,0.6423,4.4101,1.7555,0.9235,0.4963,5.6465,4.1231,0.8371,0.5952,5.2402,1.6559,0.6511,0.6289,3.5411,2.0318,0.8191,0.5344,4.6569,3.6083,0.7115,0.6009,4.1901,0.3028,1,2,2,4,1.972809,1.975394,2.167039,2.388778,4.841275,5.324433,5.324922,8.105008,1.4448,0.269698322,0.25
-0.204203,-0.083527,6.805546,8.4,295.999999,-6.485761,2.23333,14.12128,0.9297,0.4533,5.213,2.8867,0.8598,0.5229,4.6729,2.611,0.9507,0.5175,5.4935,2.3789,0.8737,0.4586,4.8216,2.7876,0.778,0.5468,4.1474,2.2578,0.7524,0.5773,4.0741,1.5424,1,2,2,3,1.9445,2.010335,2.066854,2.082422,4.840592,5.324525,5.324306,5.74487,1.4448,0.538954258,0.899999976
-0.206302,-0.079699,9.254115,147.21,2008.2,-10.207299,1.83581,14.12128,0.5089,0.5483,1.9909,0.0987,0.503,0.6227,2.0219,0.2739,0.9101,0.4656,6.1448,3.75,0.4907,0.5484,1.939,0.1016,0.5021,0.6207,2.0126,0.2662,0.7315,0.5249,4.7475,2.5662,1,1,2,1,2.073004,2.08124,2.614908,2.893266,4.839984,4.84009,5.325093,4.840509,1.4448,0.384775519,0.310000002
-0.208517,-0.088166,4.64393,34.98,231.690001,-7.688641,2.1411,14.12128,0.8972,0.5021,5.0821,1.977,0.8902,0.6281,5.4268,1.121,0.923,0.491,5.2112,2.1204,0.8077,0.526,4.5122,1.7771,0.8332,0.6025,5.0195,1.1498,0.7963,0.5508,4.2224,1.8093,1,2,3,2,1.918755,2.012952,2.077974,2.097547,4.840751,5.324431,5.744901,5.324529,1.4448,0.548714817,0.860000014
-0.207466,-0.090142,11.503531,158.01,817.730001,-8.814926,1.77325,14.121279,0.8172,0.5418,4.3235,1.9022,0.8349,0.4949,4.4535,2.4806,0.5057,0.5273,2.8966,2.0622,0.7141,0.5457,3.5645,1.8755,0.7882,0.5037,4.2506,2.3872,0.6186,0.6125,3.6255,1.3904,1,1,3,3,1.959596,1.971805,2.118044,2.118065,4.841167,4.841972,5.745339,5.745196,1.4305,0.155074462,0.01
-0.22751,-0.102201,14.809027,161.25,76.78,-8.466975,2.16479,14.121279,0.8926,0.5273,5.5163,4.0201,0.8719,0.663,4.8934,1.6071,0.9085,0.4972,5.6361,3.4819,0.7435,0.5633,4.3567,3.0911,0.8128,0.5976,4.7851,2.6813,0.7946,0.5777,4.5806,2.6616,2,1,2,4,1.97046,2.002317,2.173275,2.390103,5.324406,4.840938,5.324974,8.105006,1.4448,0.582371473,0.730000019
-0.200128,-0.083518,7.904948,6.39,143.7,-7.384985,2.20086,14.12128,0.949,0.4383,5.5172,3.6721,0.9514,0.3536,6.2993,5.0985,0.8484,0.529,4.8565,1.5754,0.8833,0.4411,5.0278,3.5811,0.8334,0.4308,5.0037,3.6809,0.7586,0.5578,4.1425,1.6635,1,2,2,3,1.920211,2.017481,2.096219,2.143952,4.8412,5.324523,5.3247,5.74488,1.4448,0.71074748,0.949999988
-0.196007,-0.072207,5.293164,144.03,197.689999,-9.235658,2.15363,14.12128,0.9009,0.4837,5.0964,3.708,0.9759,0.3492,5.5031,4.0464,0.9195,0.4122,5.5645,4.1276,0.7195,0.6457,3.5768,1.5841,0.7903,0.5859,4.4166,2.5203,0.8551,0.4265,4.7759,3.1442,1,1,2,2,1.989343,1.99406,2.191351,2.2822,4.840788,4.840167,5.324836,5.325308,1.406,0.609875202,0.779999971
-0.187291,-0.05338,7.009017,203.12,105.869999,-8.396304,2.45064,14.121283,0.92,0.371,5.11,3.8349,0.8815,0.6237,4.9145,1.5454,0.9252,0.3966,5.1888,3.6407,0.7217,0.6132,3.5097,1.6589,0.895,0.4003,5.1319,3.5223,0.7536,0.5555,4.1065,2.148,1,1,2,2,1.943488,1.989587,2.128606,2.137708,4.84086,4.840717,5.325742,5.325517,1.406,0.601974249,0.629999995
-0.204173,-0.079078,16.397304,129.18,805.86,-8.749125,1.97183,14.12128,0.8103,0.5602,4.1178,1.6899,0.8626,0.4901,4.6215,2.6741,0.5308,0.5288,3.055,1.7333,0.7078,0.5637,3.504,1.6672,0.7708,0.5115,4.0405,2.4336,0.6972,0.6212,3.9651,1.3184,1,1,3,3,1.956419,1.978283,2.114831,2.117989,4.841035,4.841694,5.744997,5.744848,1.412,0.135892183,0.029999999
-0.210032,-0.067738,11.156658,59.49,135.260001,-8.570594,2.28558,14.121283,0.8039,0.7064,3.9379,0.5151,0.9061,0.5634,4.9617,1.6608,0.9124,0.4744,4.8819,2.602,0.6854,0.6874,3.3267,0.455,0.788,0.6607,3.9846,1.3937,0.802,0.5028,4.1613,2.6218,1,1,2,2,1.970098,2.00466,2.122764,2.172407,4.840616,4.840339,5.324919,5.324824,1.4448,0.64942795,0.639999986
-0.198456,-0.067685,8.025054,171.19,191.76,-8.300068,2.14309,14.121285,0.8415,0.6383,4.2116,1.1788,0.867,0.3309,3.7605,1.7636,0.858,0.5194,4.3745,1.9702,0.7172,0.6252,3.6825,1.2968,0.7955,0.5458,4.0893,2.0393,0.813,0.3603,3.6863,1.6866,1,1,2,2,1.995297,2.023609,2.066521,2.098211,4.841195,4.84104,5.324611,5.324581,1.406,0.546210289,0.730000019
-0.205258,-0.079031,11.354343,128.27,77.57,-8.618672,2.47623,14.121284,0.9526,0.3754,5.8805,4.6342,0.9381,0.3982,4.9047,2.9449,0.9727,0.3185,5.9388,5.1423,0.8695,0.397,5.1853,4.3685,0.7867,0.4627,4.0812,2.7629,0.8208,0.508,4.4881,2.6531,1,1,2,1,1.975629,2.061012,2.076812,2.095087,4.840414,4.840372,5.324857,4.841724,1.4448,0.377432704,0.180000007
-0.20552,-0.082446,4.206976,11.16,213.720001,-6.014528,2.34084,14.12128,0.9346,0.4754,5.4911,3.0352,0.8869,0.5252,5.2474,2.9013,0.9011,0.5259,5.8884,2.9647,0.8625,0.4833,4.8768,2.9535,0.7708,0.5415,4.5485,2.4341,0.7799,0.5742,4.1899,1.8939,1,2,2,3,1.951734,2.012185,2.07986,2.090697,4.840724,5.324465,5.324523,5.744889,1.4448,0.676787794,0.469999999
-0.204273,-0.084041,1.721831,4.15,21.18,-8.169357,2.32982,14.121281,0.9203,0.4235,6.0894,4.5149,0.9664,0.276,6.8802,5.7042,0.8671,0.2545,4.5309,2.9936,0.84,0.439,5.5312,4.3186,0.9256,0.305,6.3427,5.34,0.6442,0.7035,3.4427,0.932,1,1,2,2,1.957687,2.01058,2.07261,2.077735,4.84136,4.842915,5.324793,5.324786,1.4448,0.484593272,0.469999999
-0.171221,-0.043969,3.236853,0.02,0.24,-7.360627,2.32141,14.121284,0.891,0.5501,4.4598,2.0957,0.9166,0.5672,4.5642,1.4305,0.9091,0.1566,4.9256,4.4031,0.8466,0.5491,4.306,2.1135,0.8343,0.5681,4.2699,1.4065,0.7307,0.6693,3.673,1.0254,1,1,2,2,1.959176,1.959176,2.102029,2.102029,4.840414,4.840414,5.325591,5.325591,1.406,0.576939166,0.629999995
-0.206382,-0.091386,1.653632,28.42,60.279999,-9.223426,1.82598,14.121286,0.8536,0.5831,4.8803,1.9622,0.934,0.536,6.5426,3.7583,0.9105,0.7199,5.6093,0.7331,0.7177,0.5807,3.8757,2.2243,0.7933,0.6576,4.7446,1.4035,0.8738,0.5965,5.7981,2.7804,1,2,1,1,1.908799,2.025963,2.058296,2.086789,4.84427,5.324519,4.84132,4.840695,1.4448,0.279776186,0.200000003
-0.217741,-0.099852,8.043745,0.02,0.099926,-6.371262,1.97286,14.121276,0.8751,0.5652,4.7847,0.9205,0.8333,0.6655,4.8096,0.3639,0.8841,0.6431,5.1289,1.4211,0.7861,0.5751,4.1833,0.9298,0.7173,0.662,3.8506,0.6908,0.772,0.7256,4.2005,0.6605,2,2,3,3,1.984001,1.984001,2.012381,2.012381,5.324085,5.324085,5.744996,5.744996,1.4448,0.180550069,0.200000003
-0.208366,-0.082689,4.443754,12.63,206.24,-7.089637,2.35513,14.121279,0.931,0.462,5.2186,3.0837,0.8197,0.5444,4.3337,1.4947,0.9182,0.5399,5.0516,1.6496,0.8485,0.4695,4.6397,2.9758,0.7378,0.5526,3.9706,1.6142,0.7978,0.5143,4.3098,2.2077,1,2,2,3,1.967594,2.014987,2.085215,2.113102,4.840803,5.324508,5.324646,5.744789,1.4448,0.645964622,0.800000012
-0.245879,-0.10368,26.259801,66.93,111.15,-8.603841,2.35147,14.121276,0.8506,0.5898,4.6216,1.268,0.9181,0.572,5.1068,1.6663,0.9218,0.4496,5.3157,2.2778,0.6913,0.5803,3.4946,1.1704,0.7645,0.5607,4.0757,1.0264,0.6151,0.6118,3.2076,2.3621,2,2,2,2,1.99833,2.023138,2.032018,2.054733,5.325046,5.324901,5.324588,5.324473,1.4448,0.56876725,0.600000024
-0.241794,-0.083583,11.864658,324.21,0.960001,-7.040487,2.68921,14.121279,0.8513,0.543,4.1187,1.278,0.7809,0.649,4.0898,0.2501,0.7703,0.6848,3.8406,0.3319,0.6704,0.761,3.4825,0.7824,0.7274,0.5784,3.5486,0.7942,0.7398,0.6748,3.8974,0.2699,1,2,2,4,1.928,2.061729,2.062715,2.487,4.841186,5.324531,5.324531,8.104997,1.4448,0.572003007,0.709999979
-0.224582,-0.122248,11.856788,815.7,844.920001,-10.394511,0.46579,14.121258,0.6025,0.6686,2.5466,0.1807,0.51,0.6098,2.1909,0.3318,0.5902,0.5698,2.3884,0.9007,0.5368,0.6645,2.2923,0.1664,0.4699,0.579,2.0335,0.9314,0.491,0.606,2.1496,0.3334,1,4,2,2,2.057976,2.429635,2.538896,2.542936,4.840696,8.105012,5.325865,5.325821,1.4448,0.176886588,0.01
-0.238248,-0.102508,8.202732,11.03,228.990001,-7.154551,2.2417,14.12128,0.8126,0.6351,3.9612,1.2534,0.8789,0.5221,4.3957,2.3848,0.7842,0.3064,3.4366,2.0043,0.7154,0.6407,3.5477,1.204,0.7911,0.5553,3.9675,1.5886,0.7715,0.6632,3.8653,0.6164,1,2,2,4,1.90708,2.049149,2.094307,2.479006,4.841237,5.324839,5.324781,8.104996,1.4448,0.518776596,0.370000005
-0.234897,-0.104166,20.319245,261.57,53.480001,-8.399855,2.18833,14.121279,0.8852,0.5443,5.2715,3.4168,0.8672,0.6635,4.8102,1.6304,0.8919,0.5717,5.295,2.236,0.7182,0.6038,4.0385,2.3346,0.8294,0.6018,4.8102,2.4609,0.7747,0.6226,4.2918,1.5285,2,1,2,4,1.967807,2.004895,2.178446,2.379865,5.324468,4.840867,5.324964,8.105007,1.4448,0.538501143,0.649999976
-0.17475,-0.048233,1.983795,0.080034,0.02,-7.391128,2.30872,14.121284,0.8938,0.5484,4.474,2.1146,0.9181,0.5648,4.5828,1.5256,0.9086,0.2321,4.8992,4.1746,0.851,0.5474,4.3291,2.1305,0.8346,0.5662,4.2833,1.5104,0.7354,0.6624,3.6769,1.0248,1,1,2,2,1.959176,1.959176,2.103623,2.103623,4.840417,4.840417,5.325612,5.325612,1.406,0.584439754,0.560000002
-0.201967,-0.062764,9.231754,15.4,66.09,-7.769795,2.53544,14.121282,0.9379,0.6108,5.5525,2.172,0.9068,0.583,5.5038,2.1472,0.8769,0.604,5.1273,1.5772,0.7418,0.6003,4.4402,2.0643,0.8507,0.5965,4.703,1.6997,0.833,0.5914,4.8817,2.0603,1,1,2,2,1.979842,1.988015,2.164047,2.169133,4.840216,4.840425,5.32536,5.324797,1.4448,0.666262507,0.479999989
-0.23041,-0.106917,17.012755,30.44,351.07,-6.958628,2.12858,14.12128,0.8579,0.5101,4.6027,3.0362,0.8462,0.4725,4.3231,1.6551,0.831,0.3732,4.0914,2.3538,0.8124,0.5147,4.3103,2.986,0.7564,0.5517,4.0498,1.3968,0.7121,0.61,3.7703,1.8721,1,2,2,4,1.973639,1.976073,2.121343,2.399301,4.840991,5.32452,5.325126,8.105009,1.4448,0.204558358,0.059999999
-0.20025,-0.099959,14.465007,40.82,260.58,-6.584224,1.78603,14.121286,0.9616,0.3622,5.4593,4.1703,0.9495,0.4971,5.7438,4.0031,0.9578,0.3688,4.7939,3.3692,0.9321,0.3687,5.2099,4.1269,0.8316,0.4937,4.8711,3.8509,0.9014,0.4474,4.9766,3.721,1,1,2,2,1.944039,2.015361,2.087415,2.134913,4.840619,4.840879,5.32448,5.325058,1.4448,0.212364525,0.001
-0.187138,-0.071723,7.320995,404.83,327.959999,-7.440315,2.16608,14.121283,0.966,0.3238,5.2977,4.4298,0.9589,0.3376,4.8796,3.8351,0.9561,0.3135,4.009,3.4412,0.9297,0.3254,5.1419,4.4053,0.9336,0.3409,4.6419,3.8097,0.9273,0.3196,3.8744,3.2423,1,1,2,2,1.95805,1.996104,2.095924,2.151683,4.84051,4.840397,5.325383,5.325432,1.4906,0.543448329,0.829999983
-0.195449,-0.093788,12.509267,1.11,250.74,-6.704814,1.80311,14.121275,0.9274,0.4029,5.259,3.1346,0.9539,0.4041,5.6431,3.1686,0.8871,0.5716,5.0781,2.2587,0.897,0.4034,5.0441,3.1259,0.9067,0.4112,5.2448,3.1297,0.7178,0.6195,3.9461,1.841,2,2,3,3,1.998695,1.998695,2.004482,2.004482,5.32444,5.32444,5.745023,5.745023,1.4969,0.202132493,0.25
-0.189041,-0.072615,5.499799,76.83,278.570001,-8.198012,2.14988,14.121282,0.9262,0.4596,5.2585,4.1287,0.9517,0.4187,6.0343,4.5999,0.9022,0.2877,3.823,1.9354,0.8844,0.4601,4.9772,4.1177,0.8443,0.4559,4.5627,4.0616,0.7666,0.5496,4.2963,2.4601,1,1,2,2,1.97663,1.982398,2.098049,2.194202,4.840252,4.840555,5.326616,5.324893,1.406,0.709460676,1
-0.213186,-0.102657,16.726428,57.31,74.68,-8.238047,2.01288,14.121286,0.9131,0.4625,6.16,4.3779,0.8875,0.258,5.0971,3.9669,0.8649,0.4982,4.692,2.841,0.8571,0.4704,5.7538,4.1666,0.8178,0.5021,4.4164,2.7895,0.8772,0.2599,5.0329,3.9385,1,2,1,2,1.923331,1.993113,2.028269,2.170846,4.842734,5.324683,4.840892,5.32507,1.4448,0.120355889,0.090000004
-0.200365,-0.05233,13.198676,75.59,86.77,-7.538867,2.63615,14.121282,0.8741,0.7398,5.1711,0.6824,0.8581,0.628,4.9859,1.4305,0.8631,0.6381,4.8999,0.4665,0.7149,0.7246,4.0796,0.6934,0.7827,0.6423,4.3546,0.4524,0.7949,0.6408,4.4662,0.5204,1,1,2,2,1.976536,1.98736,2.160698,2.172838,4.840257,4.840427,5.32528,5.32455,1.4448,0.670021176,0.800000012
-0.196546,-0.086199,8.515208,0.74,176.37,-7.870614,2.28881,14.12128,0.9868,0.1018,5.7922,4.607,0.9978,0.0527,6.5838,5.598,0.8425,0.5175,4.4069,0.5147,0.9852,0.1022,5.7803,4.603,0.9969,0.0536,6.5723,5.59,0.6738,0.6438,3.3824,0.1813,1,2,2,3,1.920408,2.054183,2.054183,2.233068,4.841152,5.324756,5.324755,5.744683,1.4448,0.439828277,0.340000004
-0.218265,-0.072016,14.710332,48.61,174.319999,-8.180364,2.36141,14.121278,0.7642,0.7608,3.5859,0.9849,0.8205,0.6262,3.9364,0.7243,0.7994,0.2586,3.3472,2.3534,0.6867,0.7647,3.3282,0.978,0.7716,0.6543,3.8149,1.9774,0.7168,0.6252,3.5875,1.6208,1,2,2,4,1.944,2.034959,2.068902,2.49301,4.841104,5.324663,5.324558,8.104987,1.4448,0.560423017,0.560000002
-0.207159,-0.08447,3.652061,4.52,219.02,-6.130267,2.3286,14.12128,0.9353,0.4776,5.3569,2.8314,0.8325,0.5802,4.509,1.8944,0.9156,0.4836,6.2113,4.225,0.8713,0.4829,4.8699,2.7436,0.7339,0.56,4.3572,2.3149,0.7972,0.5574,4.2234,2.0261,1,2,2,3,1.953099,2.013799,2.076444,2.085209,4.840793,5.324461,5.324553,5.744878,1.4448,0.569138527,0.49000001
-0.221704,-0.100455,18.685694,3.6,9.76,-8.151856,2.24375,14.121286,0.8953,0.5069,6.3092,4.3712,0.8626,0.4758,5.0265,3.0509,0.8698,0.2505,5.27,3.9977,0.8062,0.5188,5.5714,3.8407,0.7844,0.5157,4.5442,2.5447,0.7466,0.5645,4.4321,2.1239,1,2,1,2,1.925454,1.97796,2.025607,2.176206,4.842994,5.324678,4.840881,5.324949,1.4448,0.407152891,0.99000001
-0.223613,-0.076726,9.402553,139.21,195.670001,-6.932048,2.60339,14.12128,0.8531,0.5769,4.833,1.4555,0.8346,0.6377,4.2511,0.7927,0.8503,0.5941,4.9394,1.607,0.6969,0.6037,3.5712,1.2337,0.7615,0.6103,4.0947,1.0176,0.7381,0.6023,3.9873,1.3241,1,2,2,4,1.922115,2.045819,2.07834,2.496016,4.841164,5.324472,5.324395,8.104995,1.4448,0.619828999,0.600000024
-0.225602,-0.087857,10.344739,14.63,190.59,-7.683198,2.24735,14.12128,0.7978,0.6914,3.8524,0.9035,0.8576,0.5496,4.3004,2.152,0.7806,0.2844,3.3746,2.0212,0.705,0.6959,3.4984,0.9251,0.7784,0.5545,3.8938,2.1349,0.755,0.7241,3.8568,1.0928,1,2,2,4,1.908007,2.05714,2.095741,2.492205,4.841194,5.324759,5.324724,8.104992,1.4448,0.43637231,0.680000007
-0.206672,-0.084082,5.660845,6.03,159.44,-7.204007,2.32792,14.12128,0.9422,0.4526,5.3539,3.5252,0.921,0.4094,5.6602,4.0727,0.8604,0.5216,5.0168,1.9364,0.8709,0.4564,4.8463,3.3958,0.7272,0.5786,4.0876,1.1623,0.8209,0.4861,4.5278,2.091,1,2,2,3,1.923957,2.019751,2.11178,2.14642,4.841154,5.324533,5.324629,5.744983,1.4448,0.72693485,0.899999976
-0.203538,-0.090604,11.687017,66.76,228.46,-7.034112,2.28372,14.121283,0.9726,0.3028,6.4221,5.2302,0.9563,0.3563,6.1922,4.7207,0.9548,0.3972,6.6879,5.333,0.9387,0.3138,6.0895,5.126,0.8872,0.3839,5.6862,4.392,0.7991,0.4605,5.0899,3.8242,1,1,2,2,1.970441,1.982434,2.148361,2.153748,4.840208,4.84043,5.325082,5.325267,1.4448,0.348887503,0.189999998
-0.197023,-0.099776,10.617759,11.91,211.810001,-7.315272,1.97777,14.12128,0.9864,0.1081,6.3981,5.2031,0.9975,0.0745,6.899,5.662,0.8135,0.696,4.3239,0.4343,0.9823,0.1111,6.3617,5.1758,0.9857,0.0978,6.7852,5.4683,0.728,0.6921,3.7726,0.2886,1,2,2,3,1.921406,2.050061,2.058883,2.234398,4.841201,5.32468,5.324655,5.744691,1.4448,0.223511353,0.050000001
-0.240502,-0.09684,4.681335,50.99,213.73,-8.621443,2.39982,14.121279,0.8002,0.6461,3.7825,0.8453,0.846,0.5512,4.1212,1.6491,0.8082,0.7007,3.8863,0.4097,0.6955,0.653,3.4074,0.8519,0.7498,0.692,3.6677,0.6153,0.7737,0.5747,3.8347,1.2774,1,2,2,4,1.913021,2.049354,2.096145,2.480073,4.841247,5.324832,5.324815,8.104994,1.4448,0.50881803,0.319999993
-0.20247,-0.079225,16.393404,91.45,752.89,-7.916435,1.9609,14.12128,0.8228,0.5699,4.1615,1.6055,0.8768,0.4867,4.838,3.0217,0.6291,0.4928,3.6948,0.9218,0.7377,0.5712,3.5948,1.5868,0.7818,0.5082,4.2636,2.7447,0.6913,0.5983,3.7635,0.6046,1,1,3,3,1.953638,1.979085,2.113562,2.118938,4.841044,4.841642,5.745018,5.744847,1.412,0.082432963,0.180000007
-0.23699,-0.093036,24.459338,76.14,95.57,-7.765541,2.41866,14.121277,0.8551,0.5209,4.5407,1.8126,0.9532,0.5782,5.5184,1.2893,0.8871,0.5252,4.8506,1.9948,0.6878,0.5428,3.428,1.515,0.7245,0.5629,3.7573,1.1581,0.6536,0.6623,3.5646,1.2683,2,2,2,2,2.009983,2.019353,2.025018,2.051173,5.324877,5.324738,5.324569,5.324445,1.4448,0.579643309,0.819999993
-0.217363,-0.100769,15.792574,107.15,271.68,-7.801795,2.03412,14.121281,0.855,0.5162,5.3548,3.9421,0.8522,0.6532,5.1525,2.4329,0.873,0.555,5.443,2.8042,0.7831,0.5359,4.8197,3.7305,0.7998,0.6442,4.793,2.5774,0.7536,0.5694,4.2002,2.7333,2,1,2,4,1.957356,1.977963,2.163013,2.401752,5.324544,4.84094,5.325041,8.105007,1.4448,0.13898097,0.159999996
-0.202141,-0.059869,9.732746,13.18,74.890001,-7.93024,2.61019,14.121282,0.9397,0.5675,5.1613,2.5613,0.8758,0.5813,4.7875,1.6103,0.8701,0.6576,5.0112,1.976,0.7319,0.5968,4.1104,2.1663,0.8343,0.5989,4.3585,1.9686,0.8529,0.6088,4.7533,1.7926,1,1,2,2,1.968536,1.985902,2.166878,2.209422,4.840328,4.840408,5.325342,5.324744,1.4448,0.700073421,0.449999988
-0.222686,-0.104351,16.443228,65.99,76.470001,-7.939737,2.1786,14.121287,0.906,0.4437,5.8088,4.46,0.8597,0.5007,4.5165,2.8799,0.932,0.4195,6.0394,4.4244,0.8376,0.4586,5.3465,4.2538,0.8071,0.507,4.2417,2.821,0.6707,0.637,3.5937,1.5086,1,2,1,2,1.908727,1.995732,2.028477,2.164502,4.842958,5.324735,4.840887,5.325042,1.4448,0.521162212,0.059999999
-0.195215,-0.099439,12.817784,24.22,159.52,-6.987015,1.95899,14.121279,0.9896,0.1061,6.5577,5.8463,0.9928,0.0912,6.8536,6.0717,0.8385,0.6714,4.344,1.7767,0.9733,0.1292,6.4053,5.6466,0.7542,0.6238,4.0176,1.9756,0.9797,0.1177,6.7501,5.7315,1,2,2,3,1.921749,2.04568,2.079038,2.235892,4.841237,5.324689,5.324632,5.744627,1.4448,0.238738611,0.039999999
-0.190918,-0.074615,4.725044,60.03,247.8,-8.142875,2.16243,14.121282,0.9302,0.453,5.3711,4.2304,0.9462,0.439,5.8476,4.3472,0.9769,0.3352,5.5346,4.1177,0.8872,0.4538,5.0737,4.2126,0.828,0.476,4.3529,3.7815,0.7701,0.5517,4.2959,2.5081,1,1,2,2,1.972779,1.988242,2.130635,2.188106,4.840222,4.840587,5.326659,5.324787,1.406,0.753776729,1
-0.23002,-0.103236,17.706343,780.49,20.899999,-8.280541,2.08519,14.12128,0.8506,0.5173,4.6647,2.6471,0.8517,0.5999,5.0814,1.4715,0.8073,0.3177,4.1643,3.2321,0.7551,0.6093,4.4773,1.529,0.81,0.5146,4.4298,2.7773,0.7828,0.3159,4.0591,3.22,2,1,2,4,1.92536,2.020692,2.181524,2.371319,5.324572,4.840931,5.325045,8.104999,1.4448,0.225967929,0.07
-0.213853,-0.084626,7.266817,19.08,169.45,-8.45751,2.28232,14.121281,0.8605,0.5627,5.0013,2.6393,0.8993,0.4907,5.1972,2.9842,0.8697,0.2765,4.5667,3.432,0.7483,0.5846,4.1248,2.4403,0.8113,0.5094,4.5362,2.6904,0.7524,0.6518,4.3391,1.2985,1,1,2,2,1.938032,2.048,2.062607,2.100564,4.841251,4.843076,5.324784,5.324749,1.4448,0.583943188,0.460000008
-0.208582,-0.065051,12.745088,5.34,48.42,-6.332829,2.52423,14.121286,0.8739,0.6176,3.833,0.5187,0.8756,0.657,3.4882,0.3189,0.8776,0.6919,3.9464,0.5189,0.8093,0.6191,3.634,0.4932,0.7091,0.6884,3.3221,0.2202,0.7849,0.6448,4.0415,1.4971,1,1,1,1,2.006251,2.006251,2.069543,2.069543,4.840545,4.840545,4.841989,4.841986,1.4448,0.516615093,0.769999981
-0.237534,-0.093054,6.729692,42.79,195,-8.085736,2.38872,14.12128,0.7904,0.7109,3.8693,0.6206,0.8346,0.6079,4.2746,1.2683,0.7347,0.2964,3.3896,2.058,0.6861,0.7124,3.4687,0.6692,0.7305,0.6481,3.9382,0.4199,0.7593,0.6505,3.7986,0.6221,1,2,2,4,1.910602,2.054126,2.096517,2.491474,4.84137,5.324758,5.324709,8.104995,1.4448,0.62776041,0.629999995
-0.240982,-0.097259,2.231842,63.95,193.64,-7.935816,2.39014,14.12128,0.8087,0.688,3.955,0.7368,0.8247,0.6151,4.2327,1.3897,0.7984,0.6892,3.9914,0.2645,0.6937,0.6943,3.4932,0.766,0.7499,0.7303,3.9125,1.0208,0.748,0.6015,3.8612,1.7308,1,2,2,4,1.911164,2.056604,2.090884,2.483355,4.841319,5.324791,5.324713,8.104996,1.4448,0.583512783,0.579999983
