Ada_pred_value,LGBM_pred_value,RF_pred_value,XGB_pred_value,Exp. Kr
4.901713848,4.91612196,4.886023045,4.830350876,4.551524162
4.558281898,4.623811722,4.594282627,4.542871952,4.081670284
4.994302273,4.944668293,4.910112381,5.014124393,5.053078651
4.818909645,4.870585918,4.822593689,4.79014349,3.07188201
5.066895008,5.864757061,5.051775932,5.122281551,4.689308643
4.978359699,5.047228336,4.988178253,5.023601055,5.276461601
4.953449726,5.1265378,5.017687321,5.016741276,4.637224197
4.590860844,4.994324684,4.6796422,4.593946457,4.745074749
5.066844463,5.417967796,5.242333889,5.181192875,5.853871822
4.773553371,4.478497028,4.722044468,4.70824337,3.500976801
4.882639885,4.782092571,4.924752712,4.836469173,4.959163666
4.870893002,5.067927837,4.889760971,4.814028263,5.431798458
5.019230366,5.267588615,5.044794083,5.221441269,4.982723236
4.945540428,5.34121418,5.020754814,5.147794247,5
4.832123756,4.680316448,4.831795692,4.768482208,4.90309
4.556702614,4.529150009,4.483587265,4.473657608,4.88002491
4.797124386,5.012895107,4.897891521,4.876573563,4.942008018
4.606078625,4.518667698,4.547275543,4.575242519,4.560667515
4.965071201,5.172045231,5.142773628,5.133206844,5.40993309
4.912100315,5.021945953,4.997127056,4.957411289,4.991044998
4.769399166,4.651746273,4.741975784,4.714101791,4.849950314
4.72589016,4.417224884,4.41208744,4.560912132,5
4.666602135,4.54005146,4.523487091,4.599289417,4.037426472
4.839357376,5.149474621,4.946723938,4.95832634,4.465383053
5.060401917,5.258480549,5.211193562,5.296658516,5.431798458
4.786962032,4.533420086,4.799520493,4.770605564,4.06550169
4.943383694,5.108599663,5.142491817,5.175022125,4.312025547
4.8458004,4.739787102,4.846209049,4.836133957,4.843855381
4.875580788,4.952042103,4.849461555,4.936910152,5.284639359
4.579820633,4.428649902,4.54025507,4.517094135,6.301030159
4.396240234,4.197193623,4.361082554,4.321779251,4.31326437
4.753190041,4.958475113,5.042106628,4.733203411,4.586587429
4.956791401,4.999178886,4.979990959,5.193578243,5.021189213
4.955437183,4.886185169,4.864670753,4.951107025,4.363177776
4.961354256,5.15816164,4.667600632,4.776795387,5.382017136
4.618579865,4.522805691,4.519998074,4.825236797,4.647817612
4.890151501,4.918422699,4.836689472,4.893754482,4.986427307
4.529153824,4.478126526,4.446209431,4.415957451,4.766412735
4.845582008,4.870183945,4.840289116,4.784728527,5.481442451
4.900157928,4.911437511,4.73671484,4.783748627,4.706717968
4.845170975,4.952651501,4.752606869,4.760501862,5.082186699
4.402382851,4.303086758,4.37074995,4.298339844,4.356547356
4.928117275,5.090417862,4.942939758,5.034004211,5.021189213
5.049664497,5.310450077,5.226371765,5.061114788,4.263241291
5.098581314,5.218404293,4.928150654,4.919872761,5.072550774
4.836000919,4.644444466,4.764102936,4.863367558,4.589949608
4.961382389,5.269727707,5.047638893,5.196079731,5.190331936
4.771573544,4.668999195,4.832981586,4.830720425,5.463039875
4.826094151,5.007321835,4.933331013,5.070263386,5.255272388
4.885499001,4.977763176,4.912611485,4.900567055,5.01283741
5.024408817,5.38092041,5.194727898,5.23640728,5.44164896
4.430655956,4.201710701,4.534793854,4.544588089,3.86510396
4.756381512,4.803959846,4.692975521,4.750869751,4.778151035
4.48764658,4.305389404,4.401727676,4.228590012,4.216316223
4.731901169,4.839988708,4.775709629,4.864097118,4.592514515
4.642236233,4.804448605,4.646750927,4.52916193,4.84010601
4.659981251,4.375324726,4.724205971,4.718889236,5.245512486
4.983335972,4.947529793,4.948357105,5.265846252,5.243038177
4.659981251,4.674072266,4.577901363,4.583110809,4.923761845
4.5370121,4.434606075,4.471714497,4.409581184,4.012588978
4.562762737,4.59264183,4.671118736,4.760029316,4.394451618
4.906125069,5.021838188,4.991527081,5.146166801,5.157608032
4.723051548,4.735580921,4.738455296,4.658361435,4.428134918
4.930495262,5.041896343,5.032565117,5.064414024,5.028333664
4.462663174,4.179590225,4.381613731,4.44953537,4.093530178
4.533483028,4.682342529,4.594269276,4.508750916,4.639486313
4.382646084,4.438862801,4.438501358,4.723536491,4.313867092
4.762073994,4.801757813,4.912073135,4.895019054,5.320146084
4.578159332,4.691762447,4.61511755,4.68007946,4.227886677
4.871796608,4.952072144,4.839038849,4.891659737,5.134698391
4.990573406,5.217264652,4.894177914,4.941988468,4.770663261
5.056916237,5.390059948,5.178132534,5.328995228,5.045322895
4.827721596,4.935676098,4.923819542,4.892155647,4.863523483
4.942064285,4.983677864,5.015749454,5.078782082,5.161850929
4.72851181,4.894768715,4.791103363,4.884902477,4.845098019
5.016316891,5.028542042,4.995857239,4.811597347,4.290564537
4.616500378,4.522604942,4.629199982,4.443351746,4.585026741
4.728215694,4.754395008,4.747772694,4.522408485,3.698970079
4.891227722,5.035516739,5.026546478,5.227081299,5.469003201
4.882410526,5.123546124,4.967287064,4.86909008,5.043465614
4.988624573,5.09514761,5.12414217,5.048317909,5.26951313
4.916487694,5.051515102,4.972393513,4.978394985,5.037426472
4.705034733,4.496748924,4.625284195,4.546544075,4.62708807
4.36295414,3.928591251,4.435046196,4.050410271,3.501230001
4.810873508,4.848738194,4.817970276,5.016166687,4.363612175
4.803988457,4.941706181,4.885787964,4.998402119,4.956534386
4.759754658,4.981028557,4.800895691,4.629843235,4.677068233
4.838931084,4.459428787,4.931473732,4.927341938,4.045322895
4.847542763,5.106646538,4.890979767,4.63180685,4.805500984
4.800034046,5.015561104,4.822221756,4.905926228,5.056904793
4.841063499,4.990948677,4.963529587,4.84152317,5.28555727
4.536085129,4.598722458,4.701906204,4.519609451,4.560667515
4.717462063,4.610991478,4.677781105,4.693880081,4.848189354
4.795769215,4.689041615,4.834505558,4.840017796,4.745966434
4.814970493,5.231343269,4.995202541,5.127390862,4.720985889
4.712233067,4.584439754,4.687447071,4.566868305,4.778151035
4.945365429,5.040164948,5.045109749,5.10203886,5.332438469
4.870490551,4.824169159,4.990434647,4.932144165,5.045322895
4.908489227,4.842398167,4.95467186,4.886006355,4.717670441
4.893792152,4.989191055,4.808660507,4.797803402,4.843214035
4.934305191,5.098643303,4.885887623,5.180544853,4.698969841
4.597913742,4.498077393,4.5598526,4.600117683,4.872097015
4.759092808,5.052475452,4.933937073,4.9973979,4.954242706
4.567351341,4.658426762,4.507200718,4.58018589,4.501059055
4.729656219,4.993267536,4.898511887,4.922695637,5
4.780335903,4.74418211,4.755669594,4.841269016,5.375663757
4.799824238,5.057108402,4.954632282,4.796992779,5.184691429
5.053077698,5.373877525,5.366212845,5.254475117,5.231948853
4.843874454,4.708881378,4.768788815,4.772617817,5.071552277
4.893792152,4.876273632,4.795066357,5.0400877,3.698970079
4.799824238,4.984892368,4.978233814,4.934385777,5.113943577
4.908489227,4.900120735,4.911750317,5.036547661,6.257678509
4.75357008,4.77915144,4.798866272,4.772562027,5.016390324
4.89135313,5.132237434,4.970706463,5.036902905,5.195519924
4.780851364,4.872023106,4.779479504,4.91021204,5.155335903
4.914450169,4.853506565,4.817531109,4.870108128,4.920645237
4.9856987,5.205535412,5.093051434,4.925181866,4.745855331
5.099304199,4.764177799,4.855967999,4.965015411,4.264817715
4.843948364,4.727365971,4.852572441,4.899859428,5.054357529
4.867217541,4.827043056,4.955230236,4.857926846,4.797959805
4.875494957,4.828455925,4.967927933,4.963716507,5.40993309
4.90582943,4.788767815,4.627720356,4.845646858,4.795879841
4.994422436,4.97497797,4.965339184,5.011200428,5.54406786
4.980449677,5.113630772,4.954627991,5.027249336,5.151731968
4.933440208,4.912148476,4.839545727,4.916537762,5.013788223
4.853908539,4.51240015,4.7237854,4.818068504,5
4.800306797,4.460980415,4.908080578,5.013746262,4.155335903
4.466112137,4.153269291,4.351641178,4.28381443,4.337242126
5.020225048,5.163471222,5.15093708,5.266947269,5.113943577
4.997253418,5.081812382,5.087846279,5.009186745,4.301030159
4.869375706,5.095434666,4.660725594,4.494763374,5.076388359
4.861588955,4.953251839,4.805995941,4.733675003,5.376750946
4.900311947,5.149496078,4.916574478,5.148522854,4.857332706
4.766078472,4.643829346,4.880905151,4.921877384,5.053078651
5.198118687,5.125108242,4.949807167,5.223190308,4.84010601
4.649390697,4.940215111,4.831808567,4.796089649,5.051152706
4.806875229,4.750139236,4.866604805,4.84732008,4.885599136
4.893499851,5.036336422,4.972844124,4.866641521,5.107210159
4.91385746,5.145495415,5.027750015,4.834441185,4.58982563
4.831753731,4.876228809,4.647996426,4.830668449,5.257678509
4.892742634,5.035383224,4.983512878,4.899103165,5.264817715
4.755017757,4.627128601,4.738289833,4.744275093,4.45593214
5.012574673,4.982388496,4.871113777,4.891808033,3.045322895
4.449283123,4.035741806,4.362979889,4.385798454,4.44715786
4.994768143,5.183590889,5.082681656,5.088941097,5.049218178
4.843847275,5.023221493,5.036158562,5.079193115,4.7727561
4.840620518,4.963327885,4.905444622,5.02823925,4.975176334
4.672941685,4.569284439,4.620947838,4.884556293,4.851937294
4.757431984,4.635854244,4.692615032,4.52959013,4.803705215
4.543643951,4.46994257,4.613941669,4.59568119,4.987219334
4.94075489,4.89259243,4.805289268,4.841639042,4.690369606
4.760966778,4.637602806,4.799837112,4.882193089,4.887295723
4.941249847,5.250216961,5.00265789,4.903891087,5.041892052
4.746319771,4.670426846,4.715406418,4.817730427,5.057991982
5.091391563,5.421042919,5.086236477,5.297315121,5.265032291
4.881371975,5.104255199,4.979073524,4.801122189,4.869231701
4.958057404,5.262540817,4.834422112,4.952985764,5.46073103
4.997407436,5.194939613,5.088266373,5.090462685,5.301030159
4.814539433,4.720557213,4.888950825,4.665552139,5.365488052
4.913021564,4.907633305,4.928445339,5.056841373,4.901458263
5.051980019,5.255378246,5.2248559,5.25168705,5.462398052
5.065813541,4.999327183,5.191784859,5.218058109,5.244414806
